,Unnamed: 0,corr_train,corr_test,r2_train,r2_test,num_obs,num_features,nrmse,baseline_nrmse,tumor,method,feature,measure
0,count,10495.0,10495.0,10495.0,10495.0,10495.0,10495.0,10495.0,10495.0,tumor2,forest,single,count
1,mean,0.6971255578037403,0.3086800628180289,0.4572416613063747,0.0069874183467709,152.8406860409719,1.0,0.4215107023226361,0.4421516173613648,tumor2,forest,single,mean
2,std,0.1297174100366088,0.2533593546225324,0.1465219591730663,0.3666648081307991,42.334881576768026,0.0,0.1389317063972983,0.1359933541664478,tumor2,forest,single,std
3,min,-2.3997897378138463e-16,-0.6886070510749898,-0.0001545395748236,-13.06162820530277,40.0,1.0,0.1407527589624043,0.1845026540434989,tumor2,forest,single,min
4,25%,0.65642802609777,0.1312631520713212,0.3656881514426846,-0.1179936243337576,132.0,1.0,0.3285909456838566,0.3478196878119904,tumor2,forest,single,25%
5,50%,0.7064358148383684,0.3200213512348599,0.4532927179295877,0.023854147430449,180.0,1.0,0.3897916897830716,0.410897634432692,tumor2,forest,single,50%
6,75%,0.7651983383746688,0.4998843049191843,0.5517448010836723,0.1890019137354772,180.0,1.0,0.4770986335003627,0.5052450438076082,tumor2,forest,single,75%
7,max,0.9899424708143068,0.9758558529267972,0.926712421054708,0.885194707438589,180.0,1.0,2.5454877146243216,1.311672781939255,tumor2,forest,single,max
8,count,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,tumor2,forest,corum,count
9,mean,0.7380018084814,0.3374693411157538,0.5078458308364764,0.0381362414500703,152.8227619047619,7.590190476190476,0.4155628858826587,0.4422077677602446,tumor2,forest,corum,mean
10,std,0.1355308393998124,0.2520509162008096,0.1556078814115457,0.3456509089655157,42.35031760077192,23.256999924578853,0.1391916194857679,0.136161146367825,tumor2,forest,corum,std
11,min,-2.3997897378138463e-16,-0.6314813591407062,-0.0001545395748236,-13.06162820530277,40.0,1.0,0.1559290401704317,0.1845026540434989,tumor2,forest,corum,min
12,25%,0.6825675217809355,0.1666035439808688,0.4080728434036514,-0.0896107321583681,132.0,1.0,0.3216633845423166,0.3478529829726431,tumor2,forest,corum,25%
13,50%,0.7493043267924678,0.3564110693097064,0.5115212788079715,0.0571970408748221,180.0,1.0,0.3838111817421129,0.4108942917454167,tumor2,forest,corum,50%
14,75%,0.8196409362988862,0.5280915323705423,0.6177583584895896,0.2180164773226699,180.0,2.0,0.4740967815831622,0.5052620506027441,tumor2,forest,corum,75%
15,max,0.9899424708143066,0.9758558529267972,0.926712421054708,0.885194707438589,180.0,266.0,2.0400709257085348,1.311672781939255,tumor2,forest,corum,max
16,count,10532.0,10532.0,10532.0,10532.0,10532.0,10532.0,10532.0,10532.0,tumor2,forest,string,count
17,mean,0.9152105639096756,0.4466803720104679,0.7411182535795214,0.1714572990410221,152.7038549183441,315.7489555639954,0.3855738029495733,0.4425259756103606,tumor2,forest,string,mean
18,std,0.0564057071020214,0.251334524554671,0.0985481223878347,0.2721808644006804,42.42991319021579,267.19042039699696,0.1287389190207716,0.1362854666401587,tumor2,forest,string,std
19,min,-5.755325518530839e-17,-0.6168168450671196,-1.4985752624152582e-05,-5.267393715882487,40.0,1.0,0.1547355870415221,0.1845026540434989,tumor2,forest,string,min
20,25%,0.906863013654548,0.2868704330595295,0.6899029173929647,0.0288494988896571,132.0,137.0,0.2982138414573767,0.3481550364130831,tumor2,forest,string,25%
21,50%,0.9272797392720142,0.4832954946974402,0.750880943008228,0.177602765788475,180.0,245.0,0.3550381512112611,0.4112059538852782,tumor2,forest,string,50%
22,75%,0.9425509528873348,0.6412396890113623,0.8071453439484342,0.3390325660846907,180.0,417.0,0.4358659239061823,0.5056217446862289,tumor2,forest,string,75%
23,max,0.9942439793052368,0.9754714628130152,0.9613379461671056,0.8963369707781549,180.0,3783.0,1.353461968093802,1.311672781939255,tumor2,forest,string,max
24,count,10519.0,10519.0,10519.0,10519.0,10519.0,10519.0,10519.0,10519.0,tumor2,forest,stringhi,count
25,mean,0.8335263948812263,0.3971948459105672,0.6269836335408023,0.1076154928507368,152.78866812434643,40.966917007320085,0.3998602649720021,0.4423703051999518,tumor2,forest,stringhi,mean
26,std,0.1067417044191864,0.254548427256943,0.1451779683829259,0.3552317435898993,42.36608625111112,62.91328500886312,0.138463825970675,0.136234706042205,tumor2,forest,stringhi,std
27,min,-9.883281007417099e-17,-0.6517364080370629,-9.101759847629508e-05,-14.984413968843274,40.0,1.0,0.157771525073847,0.1845026540434989,tumor2,forest,stringhi,min
28,25%,0.7832035974208624,0.2316978520390157,0.5387816149648974,-0.0293248467728213,132.0,2.0,0.307089474445915,0.3479772608900577,tumor2,forest,stringhi,25%
29,50%,0.8617686232004906,0.4248878291710417,0.6474947923872499,0.1251363557255252,180.0,12.0,0.3670567414758859,0.4110915110204828,tumor2,forest,stringhi,50%
30,75%,0.9045746249561948,0.5912122045530753,0.7318759841068665,0.2964068035314312,180.0,54.0,0.4542629497476881,0.50540918643264,tumor2,forest,stringhi,75%
31,max,0.9863523189119874,0.9450849807762912,0.9397319373146942,0.8851947074385891,180.0,822.0,2.714237383903939,1.311672781939255,tumor2,forest,stringhi,max
32,count,10536.0,10536.0,10536.0,10536.0,10536.0,10536.0,10536.0,10536.0,tumor2,forest,all,count
33,mean,0.9441713836565314,0.455968695506644,0.7955618211727904,0.1811641744306899,152.6929574791192,10869.0,0.3844186027706481,0.4425226378507407,tumor2,forest,all,mean
34,std,0.0396249661980001,0.2456659065526605,0.0742011627557402,0.2333190678037624,42.44001178854414,0.0,0.1256151301735167,0.1362668089728452,tumor2,forest,all,std
35,min,0.5071788404770432,-0.5843558125748435,0.2341865085236961,-3.808003917639855,40.0,10869.0,0.1521281499395062,0.1845026540434989,tumor2,forest,all,min
36,25%,0.9406164537664086,0.3040938217522164,0.7600804908291673,0.0439684487202122,132.0,10869.0,0.2990932469801532,0.3481550364130831,tumor2,forest,all,25%
37,50%,0.9518125299791004,0.4893411371167728,0.8037282888682706,0.1774209087942205,180.0,10869.0,0.3553551101304577,0.4112059538852782,tumor2,forest,all,50%
38,75%,0.9614944025280462,0.6438189917871548,0.8445670894323951,0.3314095935282058,180.0,10869.0,0.4341078834121203,0.5056217446862289,tumor2,forest,all,75%
